"_system_object_id","_id","T_Chronologie","T_ChronologieDatMin","T_ChronologieDatMax","T_ChronologieTimespanFrom","T_ChronologieTimespanTo"
"112354","17710","Anfrage 1977","01.01.1977","31.12.1977","1977","1977"
"112356","17712","Anfrage 1991","01.01.1991","31.12.1991","1991","1991"
"112357","17713","Vorprojekt 1995","01.01.1995","31.12.1995","1995","1995"
"112358","17714","Anfrage 1980","01.01.1980","31.12.1980","1980","1980"
"112359","17715","Anfrage 1972","01.01.1972","31.12.1972","1972","1972"
"112360","17716","Vorprojekt 1971","01.01.1971","31.12.1971","1971","1971"
"112361","17717","Vorprojekt 2001","01.01.2001","31.12.2001","2001","2001"
"112362","17718","Anfrage 1965","01.01.1965","31.12.1965","1965","1965"
"112364","17720","Vorprojekt 1977","01.01.1977","31.12.1977","1977","1977"
"112365","17721","Anfrage 1969","01.01.1969","31.12.1969","1969","1969"
"112366","17722","Vorprojekt 1975","01.01.1975","31.12.1975","1975","1975"
"112367","17723","Vorprojekt 1978","01.01.1978","31.12.1978","1978","1978"
"112368","17724","Projekt(e) 1970/1971","01.01.1970","31.12.1971","1970","1971"
"112369","17725","Vorprojekt 1979","01.01.1979","31.12.1979","1979","1979"
"112370","17726","Vorprojekt 1971","01.01.1971","31.12.1971","1971","1971"
"112372","17728","Vorprojekt 1976","01.01.1976","31.12.1976","1976","1976"
"112373","17729","Vorprojekt 1970/1971","01.01.1970","31.12.1971","1970","1971"
"112376","17732","Anfrage 1975","01.01.1975","31.12.1975","1975","1975"
"112377","17733","Anfrage 1976","01.01.1976","31.12.1976","1976","1976"
"112378","17734","Vorprojekt 1976","01.01.1976","31.12.1976","1976","1976"
"112379","17735","Vorprojekt 1962","01.01.1962","31.12.1962","1962","1962"
"112380","17736","Vorprojekt 1980","01.01.1980","31.12.1980","1980","1980"
"112381","17737","Anfrage 1972","01.01.1972","31.12.1972","1972","1972"
"112382","17738","Anfrage 1966","01.01.1966","31.12.1966","1966","1966"
"112383","17739","Anfrage 1969","01.01.1969","31.12.1969","1969","1969"
"112384","17740","Vorprojekt 1982","01.01.1982","31.12.1982","1982","1982"
"112389","17745","Vorprojekt 1986","01.01.1986","31.12.1986","1986","1986"
"112390","17746","Vorprojekt 1974/1975","01.01.1974","31.12.1975","1974","1975"
"112444","17800","Vorprojekt 1978","01.01.1978","31.12.1978","1978","1978"
"112445","17801","datiert 12.12.1961","12.12.1961","12.12.1961","1961-12-12","1961-12-12"
"112446","17802","Vorprojekt 1969","01.01.1969","31.12.1969","1969","1969"
"112447","17803","Studie 1961","01.01.1961","31.12.1961","1961","1961"
"112448","17804","Vorprojekt 1996","01.01.1996","31.12.1996","1996","1996"
"112449","17805","Vorprojekt 1966","01.01.1966","31.12.1966","1966","1966"
"112450","17806","Vorschlag 1965","01.01.1965","31.12.1965","1965","1965"
"112451","17807","Anfrage 1967","01.01.1967","31.12.1967","1967","1967"
"112452","17808","Vorprojekt 1972","01.01.1972","31.12.1972","1972","1972"
"112454","17810","Anfrage 1981","01.01.1981","31.12.1981","1981","1981"
"112455","17811","Projekt 1983","01.01.1983","31.12.1983","1983","1983"
"112456","17812","Anfrage 1966","01.01.1966","31.12.1966","1966","1966"
"112457","17813","Projekt 1970","01.01.1970","31.12.1970","1970","1970"
"112458","17814","Anfrage 1969","01.01.1969","31.12.1969","1969","1969"
"112459","17815","Anfrage 1964","01.01.1964","31.12.1964","1964","1964"
"112460","17816","Akquisition 1983","01.01.1983","31.12.1983","1983","1983"
"112462","17818","Vorprojekt 1964","01.01.1964","31.12.1964","1964","1964"
"112463","17819","Vorprojekt 1974","01.01.1974","31.12.1974","1974","1974"
"112464","17820","Anfrage 1969","01.01.1969","31.12.1969","1969","1969"
"112466","17822","Anfrage 1980","01.01.1980","31.12.1980","1980","1980"
